SCI_NAME,PRESENCE,ORIGIN,SEASONAL,COMPILER,YRCOMPILED,CITATION,LEGEND,PROT_NAME,PROT_DESG
Mustela erminea,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Gulo gulo,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Martes americana,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Mephitis mephitis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Neovison vison,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Mustela frenata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Spilogale gracilis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Procyon lotor,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Puma concolor,1,1,1,IUCN,2015,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Lynx rufus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Corynorhinus townsendii,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Myotis evotis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Myotis keenii,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Myotis yumanensis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Myotis californicus,1,1,1,IUCN,2017,NatureServe 2015,Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Eptesicus fuscus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Myotis volans,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Lasionycteris noctivagans,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Lasiurus cinereus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Odocoileus virginianus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Odocoileus hemionus,1,1,1,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Castor canadensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Didelphis virginiana,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Glaucomys sabrinus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Erethizon dorsatum,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Ursus arctos,1,1,1,"B. McLellan, M Proctor",2016,IUCN SSC Bear Specialist Group,Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Neotoma cinerea,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Canis latrans,1,1,1,Hody and Kays 2018,2018,Hody and Kays 2018,Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Marmota caligata,1,1,1,IUCN,2018,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Vulpes vulpes,1,3,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant & Introduced (resident),GARIBALDI PARK,PROVINCIAL PARK
Lontra canadensis,1,1,1,IUCN,2015,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Mus musculus,1,3,1,IUCN,2014,IUCN (International Union for Conservation of Nature),Extant & Introduced (resident),GARIBALDI PARK,PROVINCIAL PARK
Sorex monticola,1,1,1,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Oreamnos americanus,1,1,1,IUCN,2022,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Myotis lucifugus,1,1,1,Jesika Reimer,2021,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Canis lupus,1,1,1,IUCN,2023,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Ursus americanus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Lynx canadensis,1,1,1,Maine Department of Inland Fisheries and Wildlife,2016,Maine Department of Inland Fisheries and Wildlife,Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Sorex cinereus,1,1,1,"NatureServe, 2005",2008,"NatureServe, 2005",Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Microtus pennsylvanicus,1,1,1,IUCN,2008,"NatureServe, 2005; IUCN (International Union for Conservation of Nature)",Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Neurotrichus gibbsii,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Sorex palustris,1,1,1,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Neotamias amoenus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Scapanus orarius,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Tamiasciurus hudsonicus,1,1,1,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Tamiasciurus douglasii,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Zapus princeps,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Zapus hudsonius,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Microtus longicaudus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Clethrionomys gapperi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Phenacomys intermedius,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Microtus richardsoni,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Peromyscus maniculatus,1,1,1,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Ondatra zibethicus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Ochotona princeps,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Synaptomys borealis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Sylvilagus floridanus,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK
Lepus americanus,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature),Extant (resident),GARIBALDI PARK,PROVINCIAL PARK